,distance_per_second,enhanced_speed,power,wpkg,FTP_perct,cadence,grade,enhanced_altitude,heart_rate,max_heart_rate_perct
distance_per_second,1.0,0.9999993021710591,0.14578644256198,0.14578644256198048,0.14578667704045262,0.3654467538027791,-0.46913709798474224,-0.19142596441486331,0.2997831191540691,0.2997711879654043
enhanced_speed,0.9999993021710591,1.0,0.14576635262467802,0.14576635262467819,0.14576658663687864,0.3654395642397067,-0.4691577618892514,-0.19143241378706272,0.29976663955728583,0.2997546999741693
power,0.14578644256198,0.14576635262467802,1.0,1.0,0.9999999978208127,0.6394863123404724,0.33775284579448345,0.10146049346262279,0.22626884734746305,0.22626392384463623
wpkg,0.14578644256198048,0.14576635262467819,1.0,1.0,0.999999997820818,0.6394863123404725,0.3377528457944841,0.1014604934626247,0.2262688473474653,0.22626392384463795
FTP_perct,0.14578667704045262,0.14576658663687864,0.9999999978208127,0.999999997820818,1.0,0.6394887841454925,0.3377520685080937,0.10146089690673445,0.22626666178644406,0.22626173792702406
cadence,0.3654467538027791,0.3654395642397067,0.6394863123404724,0.6394863123404725,0.6394887841454925,1.0,0.16260711799098332,0.07376845991455376,0.2862394103040254,0.2862297010590178
grade,-0.46913709798474224,-0.4691577618892514,0.33775284579448345,0.3377528457944841,0.3377520685080937,0.16260711799098332,1.0,0.19135601664654017,0.2733831822506703,0.27338276261788663
enhanced_altitude,-0.19142596441486331,-0.19143241378706272,0.10146049346262279,0.1014604934626247,0.10146089690673445,0.07376845991455376,0.19135601664654017,1.0,0.41381826424398377,0.4138389635891472
heart_rate,0.2997831191540691,0.29976663955728583,0.22626884734746305,0.2262688473474653,0.22626666178644406,0.2862394103040254,0.2733831822506703,0.41381826424398377,1.0,0.9999998884329513
max_heart_rate_perct,0.2997711879654043,0.2997546999741693,0.22626392384463623,0.22626392384463795,0.22626173792702406,0.2862297010590178,0.27338276261788663,0.4138389635891472,0.9999998884329513,1.0
