,distance_per_minute,enhanced_speed,power,wpkg,FTP_perct,cadence,grade,enhanced_altitude,hear_rate,max_heart_rate_perct
distance_per_minute,1.0,0.9999999748668247,0.21841617383355583,0.21841617383355602,0.21841738206090786,0.4845764174397318,-0.4606826699380984,-0.16962268341343392,0.4071697323918742,0.4071592684538837
enhanced_speed,0.9999999748668247,1.0,0.21841652312099338,0.21841652312099372,0.21841773174015233,0.48457543127145547,-0.4606785927081194,-0.1695997346485643,0.407170467370261,0.4071600058695217
power,0.21841617383355583,0.21841652312099338,1.0,1.0,0.9999999997550694,0.7333171338847009,0.48349790380177354,0.21461673188436392,0.6043439860671023,0.6043314192712275
wpkg,0.21841617383355602,0.21841652312099372,1.0,1.0,0.9999999997550695,0.7333171338847009,0.48349790380177377,0.21461673188436417,0.6043439860671029,0.6043314192712281
FTP_perct,0.21841738206090786,0.21841773174015233,0.9999999997550694,0.9999999997550695,1.0,0.7333219461889896,0.4834962056705977,0.214617820139036,0.6043418893003714,0.6043293230732238
cadence,0.4845764174397318,0.48457543127145547,0.7333171338847009,0.7333171338847009,0.7333219461889896,1.0,0.22797893710330955,0.14297812921686615,0.6280975701305098,0.6280843029068294
grade,-0.4606826699380984,-0.4606785927081194,0.48349790380177354,0.48349790380177377,0.4834962056705977,0.22797893710330955,1.0,0.2079255543863892,0.33728701899832864,0.3372892309110189
enhanced_altitude,-0.16962268341343392,-0.1695997346485643,0.21461673188436392,0.21461673188436417,0.214617820139036,0.14297812921686615,0.2079255543863892,1.0,0.39599863548321185,0.3960161723797167
hear_rate,0.4071697323918742,0.407170467370261,0.6043439860671023,0.6043439860671029,0.6043418893003714,0.6280975701305098,0.33728701899832864,0.39599863548321185,1.0,0.9999999916878014
max_heart_rate_perct,0.4071592684538837,0.4071600058695217,0.6043314192712275,0.6043314192712281,0.6043293230732238,0.6280843029068294,0.3372892309110189,0.3960161723797167,0.9999999916878014,1.0
